,books_id,language_code,average_rating,deskripsi,penerbit,jml_halaman,tahun_terbit,url,image,judul,penulis,isbn,genre
10,29,eng,4.14,"""Poetic, down trodden and nihilistic, Jonathan Ashley treads through parts of the human psyche that others fear for one black tar mind-fuck-ride of a novel.""
- Frank Bill, author of CRIMES IN SOUTHERN INDIANA and DONNYBROOK
In Jonathan Ashley's dark humor debut crime novel, a Louisville bookstore owner leaves his used volumes of Yeats behind to get into the drug trade and make some real money.
Jon Catlett, a misanthropic literary obsessive, is facing the loss of the only thing in the world he loves; his used bookstore, a haven for fellow weirdos, outcasts, misunderstood geniuses and malcontents. Jon has several other problems, the least of which are his love affair with a bi-polar femme fatale heiress to a thriving northern steel company or the exponentially growing opiate habit he has developed.
When Jon, during a deal gone wrong, accidentally kills a fellow drug addict, getting away with murder turns out to be the least of his worries. The steps he and Paul, the obsessive-compulsive manager of Jon's store, must take to cover up the killing result in the two cornering Louisville's blossoming heroin trade.
From West End gangbangers to dirty cops and crusading narcotics detectives, Jon and his unstable partner in crime must dilute their morals and thicken their skin if they are to have any hope of surviving the lucrative but deadly life they've stumbled upon.
MORE PRAISE FOR THE COST OF DOING BUSINESS:
""Ashley breaks our hearts, he breaks all the rules and, most importantly, he breaks our expectations of what a simple crime story can be. He shatters it, in fact, leaving readers craving another deadly taste--much like the lost souls in this chilling, amazing story.""
- Patrick Wensink, author of BROKEN PIANO FOR PRESIDENT
""We live in a capitalistic society, yes, but nobody said doing business is easy or even enjoyable. Jonathan Ashley makes this point quite well in The Cost of Doing Business. Of course when the business is the heroin trade, the stakes are life and death, but is the suspicion, the betrayal, the plotting and scheming, all that different than what goes on in the corporate world? Louisville bookstore owner Jon Catlett leaves his used volumes of Yeats behind to get into the drug trade and make some real money, and the result is blood-filled mayhem. He never loses his sense of literate irony, though, taking us through a fast, unpredictable novel with equal parts darkness and humor. A very confident debut.""
- Scott Adlerberg, author of SPIDERS AND FLIES
""...poetic observations worthy of Daniel Woodrell or Matthew McBride""
- January Magazine",280 Steps,228.0,2014.0,https://www.goodreads.com/book/show/22722787-the-cost-of-doing-business,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,The Cost of Doing Business,Jonathan Ashley,9788293326243,['Crime']
11,30,eng,3.71,"The future world is at peace.
Ella Shepherd has dedicated her life to using her unique gift--the ability to enter people's dreams and memories using technology developed by her mother--to help others relive their happy memories.
But not all is as it seems.
Ella starts seeing impossible things--images of her dead father, warnings of who she cannot trust. Her government recruits her to spy on a rebel group, using her ability to experience--and influence--the memories of traitors. But the leader of the rebels claims they used to be in love--even though Ella's never met him before in her life. Which can only mean one thing...
Someone's altered her memory.
Ella's gift is enough to overthrow a corrupt government or crush a growing rebel group. She is the key to stopping a war she didn't even know was happening. But if someone else has been inside Ella's head, she cannot trust her own memories, thoughts, or feelings.
So who can she trust?",Scripturient Books,351.0,2014.0,https://www.goodreads.com/book/show/22642971-the-body-electric,https://images.gr-assets.com/books/1406979059m/22642971.jpg,The Body Electric,Beth Revis,9780990662617,"['Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Fiction', 'Mystery']"
12,33,eng,4.07,"Past and present collide as Special Agent Pendergast uncovers mysterious connections between a string of 19th century bear attacks in a Colorado mining town, a fabled, long-lost Sherlock Holmes story, and a deadly present-day arsonist.
In 1876, in a mining camp called Roaring Fork in the Colorado Rockies, eleven miners were killed by a rogue grizzly bear. Corrie Swanson has arranged to examine the miners' remains. When she makes a shocking discovery, town leaders try to stop her from exposing their community's dark and bloody past. 
Just as Special Agent Pendergast of the FBI arrives to rescue his protege, the town comes under siege by a murderous arsonist who-with brutal precision-begins burning down multimillion-dollar mansions with the families locked inside. Drawn deeper into the investigation, Pendergast discovers a long-lost Sherlock Holmes story that may be the key to solving both the mystery of the long-dead miners and the modern-day killings as well.
Now, with the ski resort snowed in and under savage attack-and Corrie's life suddenly in grave danger-Pendergast must solve the enigma of the past before the town of the present goes up in flames.",Grand Central Publishing,13.0,2013.0,https://www.goodreads.com/book/show/17368265-white-fire,https://images.gr-assets.com/books/1385408417m/17368265.jpg,"White Fire (Pendergast, #13)",Douglas Preston,9781619694613,"['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Mystery Thriller', 'Crime', 'Audiobook']"
13,35,eng,4.15,"PRODUCT DESCRIPTION: The first new volume of Garth Ennis powerful War Stories series features tales ripped from the pages of history itself delivering a horrifying and riveting look at some of the most brutal battles throughout time. This essential tome includes three stories of battle written by Ennis and illustrated by Tomas Aira including: Castles in the Sky: A horrifying tale of early bomber pilots and their incredibly difficult missions during wartime. Thrust into the sky with a new team of soldiers these brave men learn quickly the horrors of aerial combat over the skies of Germany. Children of Israel: In 1973, the Golan Heights was the home to the most brutal tank warfare in history. As a young nation of Israel faced the imposing forces of the Syrian army, the true mettle of these soldiers would be tested as never before. The Last German Winter: February 1945: as the Soviet war machine crashes into eastern Germany on a tidal wave of carnage and revenge, a mother and her children join the flood of refugees struggling to stay ahead of the invaders. But the realities of battle are dreadful to behold, and what the little family find waiting for them is deadlier than any mythical dragon. Worse still, the strange figures who appear from the deep woods are far from being knights in shining armour- and in these dark times, the price of salvation may just be too much to bear. This volume collects War Stories #1 - 9 of the ongoing comic book series.""",Avatar Press,224.0,2016.0,https://www.goodreads.com/book/show/27036536-war-stories-volume-3,https://images.gr-assets.com/books/1445402463m/27036536.jpg,"War Stories, Volume 3",Garth Ennis,9781592912728,"['Comics', 'Graphic Novels', 'War', 'Military Fiction', 'Historical Fiction', 'Fiction', 'World War II']"
14,40,eng,4.37,"An unflinching, darkly funny, and deeply moving story of a boy, his seriously ill mother, and an unexpected monstrous visitor.
At seven minutes past midnight, thirteen-year-old Conor wakes to find a monster outside his bedroom window. But it isn't the monster Conor's been expecting-- he's been expecting the one from his nightmare, the nightmare he's had nearly every night since his mother started her treatments. The monster in his backyard is different. It's ancient. And wild. And it wants something from Conor. Something terrible and dangerous. It wants the truth. From the final idea of award-winning author Siobhan Dowd-- whose premature death from cancer prevented her from writing it herself-- Patrick Ness has spun a haunting and darkly funny novel of mischief, loss, and monsters both real and imagined.",Walker Childrens Hardbacks,240.0,2012.0,https://www.goodreads.com/book/show/16693030-a-monster-calls,https://images.gr-assets.com/books/1421247398m/16693030.jpg,A Monster Calls,Patrick Ness,9781406346954,"['Fantasy', 'Young Adult', 'Fiction', 'Horror', 'Middle Grade', 'Contemporary', 'Magical Realism']"
15,42,eng,4.57,"This book is about one of the most sacred place for Hindus-Pushkar. It is known as Tirhraj which means ""king of holy places"".
It explains Philosophy of Hinduism and significance of Hindu rituals.About half a million foreigners visit this place. Some chapters throw light on rural culture of Rajasthan.",Pearl Sansthan,84.0,1997.0,https://www.goodreads.com/book/show/16693035-tirthraj-pushkar,https://images.gr-assets.com/books/1355499340m/16693035.jpg,Tirthraj Pushkar,Vipin Behari Goyal,9789351262923,[]
16,43,eng,3.9,"Dennis Milam Bensie is One Gay American. Born in the 1960s and raised with traditional values in Robinson, Illinois, Bensie desperately wanted romance, a beautiful wedding, and a baby to carry on the family name. He denied his sexuality and married a woman at nineteen years old, but fantasized of weddings where he could be the bride. The newlyweds ""adopted"" a Cabbage Patch Doll and ironically witnessed a Cabbage Patch Doll wedding (a successful fundraiser staged by a local women's club) where the dolls were granted the type of grand ceremony off-limits to gay couples. In search of his identity as a gay man, Bensie divorced his wife and stumbled through missteps and lessons that still sting his generation: defending against bullies, ""disappointing"" his parents, and looking for love in gay bars, bath houses and restrooms. He helped his straight friends plan their dream weddings and mourned his gay friends dying of AIDS. Although true love has not yet come his way, Bensie has learned to love himself. Bensie is the author of the much-lauded memoir, Shorn: Toys to Men, which recounts his battle with paraphilia. One Gay American tells the rest of his story and draws parallels to gay history, decade by decade, with newspaper headlines and quotations. Bensie is the gay neighbor that you either love or hate. Either way, he's got a lot to say and says it with no apologies.",Coffeetown Press,242.0,2012.0,https://www.goodreads.com/book/show/16250763-one-gay-american,https://images.gr-assets.com/books/1354922638m/16250763.jpg,One Gay American,Dennis Milam Bensie,9781603811,"['Nonfiction', 'Biography']"
17,44,eng,4.08,"For as long as she can remember, Teagan Bliss has wanted to manage her family's property. She's invested everything in the farm, knowing that when her parents retire she'll be ready to take the reins. But when a family betrayal leaves her reeling, Teagan is forced to rethink her entire future.
Heartbroken, Teagan flees to her aunt's property in the idyllic Falls Valley. Vanessa is warm and welcoming and a favourite of the locals who drop in regularly for cocktail hour. Teagan soon catches the attention of sexy local farrier Lucas Knight, and with a new job, new friends and the prospect of a new relationship, she slowly begins to open up again.
But the village is a hotbed of gossip and division and when Teagan gets caught up in town politics, Lucas and Vanessa become concerned. As the tension in town escalates, Teagan must decide who to trust. But when she realises those close to her have been keeping secrets, the fallout may split Teagan apart forever.",Michael Joseph / Penguin Australia,402.0,2015.0,https://www.goodreads.com/book/show/24614930-the-falls,https://images.gr-assets.com/books/1421832478m/24614930.jpg,The Falls,Cathryn Hein,9781921901997,['Romance']
18,49,eng,4.11,"1 MP3-CD / 10 hours
Haunted by a series of horrifying and violent episodes in their past, Grace McBride and the oddball crew of her software company, Monkeewrench, create a computer game where the killer is always caught, where the good guys always win. But their game becomes a nightmare when someone starts duplicating the fictional murders in real life, down to the last detail.
By the time the police realize what's happening, three people are dead, and with seventeen more murder scenarios available online, there are seventeen more potential victims. While the authorities scramble to find the killer in a city paralyzed by fear, the Monkeewrench staff are playing their own game, analyzing victim profiles in a frantic attempt to discover the murderer's next target.
In a thriller populated by characters both hilarious and heartbreaking, a rural Wisconsin sheriff, two Minneapolis police detectives, and Grace's gang are caught in a web of decades-old secrets that could get them all killed.",Brilliance Audio,10.0,2004.0,https://www.goodreads.com/book/show/926660.Monkeewrench,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Monkeewrench,P.J. Tracy,9781593351380,"['Mystery', 'Thriller', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense', 'Detective']"
19,53,eng,4.0,"John Vincent and Amerise Carlton are ready to strangle their mutual friend, Ellen, when she pairs them on a blind date certain to be a recipe for disaster. What should have been a fun-filled evening turns sour when the mismatched couple butts heads over dinner. Toss in an inept waiter, the hottest day of the year, a city-wide blackout, and the date goes from bad to worse. Just when rock bottom looms near, the unlikely couple is given a new perspective.
A moonlit garden, novelty candy, and a sweet summer night open the doorway to understanding. Can this unlikely couple find the sugary spark of romance in a city engulfed by darkness?
Maybe Ellen was on to something after all!
Love Blooms is a new series of sweet interracial romance shorts and novellas. Showcasing what I've chosen to tag as 'Vibrant Interracial Romance'.
What do I mean by 'vibrant interracial' romance? I want my stories and characters to resonate -- to set off an empathetic vibration in my readers because life has taken them into some of the same valleys and has them hoping to reach the same mountain tops.
I love my characters, and I don't want to say their emotions are my playground, but I do believe I can bring out through them -- feelings, life experiences, joy and pain that most anyone can relate to. I don't put them through all their struggles just to create drama-- they're headed somewhere. On their way to discover real connection to another person, a true soul mate. The good and bad they've lived through before they get to that glorious place are the seeds planted so that Love may bloom.
BLACKOUT IN THE GARDEN OF LOVE is Vol#1 of the LOVE BLOOM SERIES.
Stop by my blog http://venicekennedy.wordpress.com/to hear more about my LOVE BLOOMS SERIES, my journey to indie publishing or chat about everything sweet IR!",Venice Kennedy,29.0,2012.0,https://www.goodreads.com/book/show/16081442-blackout-in-the-garden-of-love,https://images.gr-assets.com/books/1350102886m/16081442.jpg,Blackout in the Garden of Love (Love Blooms Series Vol#1),Venice Kennedy,B009N841IM,[]
20,54,eng,4.14,"Meet the Melendys! The four Melendy children live with their father and Cuffy, their beloved housekeeper, in a worn but comfortable brownstone in New York City. There's thirteen-year-old Mona, who has decided to become an actress; twelve-year-old mischievous Rush; ten-and-a-half-year-old Randy, who loves to dance and paint; and thoughtful Oliver, who is just six.
Tired of wasting Saturdays doing nothing but wishing for larger allowances, the four Melendys jump at Randy's idea to start the Independent Saturday Afternoon Adventure Club (I.S.A.A.C.). If they pool their resources and take turns spending the whole amount, they can each have at least one memorable Saturday afternoon of their own. Before long, I.S.A.A.C. is in operation and every Saturday is definitely one to remember.
Written more than half a century ago, The Saturdays unfolds with all the ripe details of a specific place and period but remains, just the same, a winning, timeless tale. The Saturdaysis the first installment of Enright's Melendy Quartet, an engaging and warm series about the close-knit Melendy family and their surprising adventures.","Henry Holt & Company, Inc.",192.0,1941.0,https://www.goodreads.com/book/show/8037411-the-saturdays,https://images.gr-assets.com/books/1312143418m/8037411.jpg,The Saturdays,Elizabeth Enright,9780030896903,"['Fiction', 'Childrens', 'Middle Grade', 'Classics', 'Historical Fiction', 'Young Adult', 'Audiobook']"
21,55,eng,4.26,"Why is the brain divided? The difference between right & left hemispheres has been puzzled over for centuries. In a book of unprecedented scope, McGilchrist draws on a vast body of recent brain research, illustrated with case histories, to reveal that the difference is profound--not just this or that function, but two whole, coherent, but incompatible ways of experiencing the world. The left hemisphere is detail oriented, prefers mechanisms to living things & is inclined to self-interest. The right hemisphere has greater breadth, flexibility & generosity. This division helps explain the origins of music & language, & casts new light on the history of philosophy, as well as on some mental illnesses. The 2nd part of the book takes a journey thru the history of Western culture, illustrating the tension between these two worlds as revealed in the thought & belief of thinkers & artists, from Aeschylus to Magritte. He argues that, despite its inferior grasp of reality, the left hemisphere is increasingly taking precedence in the modern world, with potentially disastrous consequences.
List of Illustrations
Acknowledgments
Introduction
Asymmetry and the brain --
What do the two hemispheres 'do'? --
Language, truth and music --
The nature of the two worlds --
The primacy of the right hemisphere --
The triumph of the left hemisphere --
Imitation and the evolution of culture --
The ancient world --
The Renaissance and the Reformation --
The Enlightenment --
Romanticism and the Industrial Revolution --
The modern and post-modern worlds
Conclusion
Notes
Bibliography
Index","Yale University Press (New Haven, CT)",534.0,2010.0,https://www.goodreads.com/book/show/8529354-the-master-and-his-emissary,https://images.gr-assets.com/books/1328848143m/8529354.jpg,The Master and His Emissary: The Divided Brain and the Making of the Western World,Iain McGilchrist,9780300168921,"['Psychology', 'Science', 'Nonfiction', 'Philosophy', 'Neuroscience', 'History', 'Brain']"
22,56,eng,3.82,"Librarian Note: See Alternate Cover Edition .
Tray Dunaway longs to be part of the popular set at school but she's growing too fast and her clothes no longer fit. The only person who understands Tray's need for acceptance is her grandmother, but when Tray wears Gram's hand-sewn clothes to school, the kids make fun of her tall, boney appearance. Tray's luck improves when Pee Wee Johnson, a down-and-out friend of her father's, buys two lottery tickets and gives one to Mr. Dunaway as a thank-you for driving him to Hazard, Illinois. When her father's ticket turns out to be the winner, Johnson demands his cut of the proceeds but Tray's dad refuses. What seems like a stroke of good fortune suddenly becomes a disturbing turn of events as Johnson threatens to cause problems for the family and Tray.",Firefly Southern Fiction,210.0,2015.0,https://www.goodreads.com/book/show/25421507-the-ticket,https://images.gr-assets.com/books/1429913893m/25421507.jpg,The Ticket,Debra Coleman Jeter,9781941103869,"['Amazon', 'Young Adult', 'Christian', 'Fiction', 'Christian Fiction']"
23,66,eng,3.0,"Alistair didn't know it yet, but in six days time he'd be putting both barrels of a shotgun in his mouth and putting his thumb on the trigger...
Burdened down with a bag of pot and a lot of guilt over the person he killed, Alistair needs to escape. He wants out from the turf war brewing in Swansea between a bunch of criminals. He wants out from the acid-munching cops on the verge of madness and from his idiot friends who spend their time talking about the meaning of life and interspecies wrestling.
Plus, there's a girl involved...
Getting out isn't going to be that easy though. Whether negotiating his notice with inept mobsters, dodging delusional vigilantes or avoiding that 'thing' in the shadows, escaping is going to be seriously tough.
The Dead City Rollers is comedy crime thriller, full of flawed characters. It is alive with comic touches, cliff hangers and a real sense of place.",Troubador Publishing Ltd,384.0,2014.0,https://www.goodreads.com/book/show/23336818-the-dead-city-rollers,https://images.gr-assets.com/books/1412677008m/23336818.jpg,The Dead City Rollers,R.T. Stroud,9781783065882,[]
24,69,eng,5.0,"Louder Than Everything You Love is about transformation. The narrator in these poems is many: women who talk to the dead, women who mourn dead mothers and grandmothers, women suicides, women who've been raped/escaped rape, women who cradle premature babies, women who suffer depression, women who prepare the bodies of the dead, women who exist between their children's bodily needs (""this body-psalm of need the only holiness I know"") and saints' incorruptible bodies.
These women also live inside themselves, contending with the wolves within, asking: ""How do I measure the body's gardens form within its bone fences?"" The dead, the living and the divine inhabit this collection - they're looking for kinship, remembrance, for some kind of communion. The poems in Louder Than Everything You Love are about the struggle of living in a body, being a parent, trying to find the balance between what our lives on earth mean/what it means to come to terms with dying.",ELJ Publications,118.0,2015.0,https://www.goodreads.com/book/show/29065952-louder-than-everything-you-love,https://images.gr-assets.com/books/1455198396m/29065952.jpg,Louder Than Everything You Love,Nicole Rollender,9781942004196,['Poetry']
25,72,eng,5.0,"The award-winning, five-star George House Heritage Bed & Breakfast, located in Dildo, Newfoundland and Labrador, is famous for its delicious cuisine, and now you can prepare this wonderful food yourself! George House Heritage Bed & Breakfast Kitchen Recipesis a cookbook containing more than 300 tried-and-true recipes that are guaranteed to tempt your taste buds. Included with these mouth-watering recipes are helpful cooking tips and suggestions, interesting facts and trivia, and delightful comments from guests of the George House Heritage Bed & Breakfast. Bon appetit!
Winner in the Canada - English category of the Gourmand World Cookbooks Awards 2010",Flanker Press,257.0,2010.0,https://www.goodreads.com/book/show/13598466-george-house-heritage-bed-breakfast-kitchen-recipes,https://images.gr-assets.com/books/1334198334m/13598466.jpg,George House Heritage Bed & Breakfast Kitchen Recipes,Todd Warren,9781897317815,[]
26,76,eng,3.57,"Where Borders Bleed is a keenly observed and anecdotal account of a factious landscape that has long engaged global attention: the Indo-Pak region. Covering almost seventy years of conflict, it chronicles the events leading up to Partition, reflects on the consequent strife, and provides a fresh, discursive perspective on the figures who have shaped the story of this land from Lord Louis Mountbatten and Muhammad Ali Jinnah to Atal Bihari Vajpayee and Manmohan Singh.
Covering historical, diplomatic and military perspectives, Where Borders Bleed is intrepid, engaging with a range of contentious issues that have shaped Indo-Pak relations water sharing, Kashmir and Article 370. Equally, it is speculative. It asks: would terror have affected the world the way it has, if PakIndia had been a benign single entity? What if India and Pakistan were to reunite, much like East and West Germany? As the now-largest nation in the world, would the mammoth PakIndia radically change the globe s geo-political framework?
These questions combined with the author s own diplomatic access to rare archival material and key leaders across borders make this a one-of-a-kind book on the story of India and Pakistan.
A compellingly written account of India, Pakistan and the history of the subcontinent, rich in anecdote.
Written by India's former consul general to Karachi, the book presents rare archival material, interviews and insights into the lives of key Indo-Pak leaders.
Engages with contentious issues that define Indo-Pak relations water sharing, Article 370 and Kashmir and speculates on the future of geopolitics had PakIndia been a single entity.",Rupa Publications,296.0,2015.0,https://www.goodreads.com/book/show/25046281-where-borders-bleed,https://images.gr-assets.com/books/1425206677m/25046281.jpg,Where Borders Bleed: An Insider's Account of Indo-Pak Relations,Rajiv Dogra,9788129135735,['India']
