Title,Author,Series,Settings,Blurb,Genres,Pages,Publication Info,Image URL,Character,ISBN,Language
Pulang,Leila S. Chudori,,,"Paris, Mei 1968.  Ketika revolusi mahasiswa berkecamuk di Paris, Dimas Suryo seorang eksil politik Indonesia bertemu Vivienne Deveraux, seorang mahasiswa Prancis yang ikut demonstrasi melawan pemerintah Prancis. Pada saat yang sama, Dimas menerima kabar dari Jakarta: Hananto Prawiro, sahabatnya, ditangkap tentara dan dinyatakan tewas. Dimas merasa cemas dan gamang. Bersama puluhan wartawan dan seniman lain, dia tak bisa kembali ke Jakarta karena paspornya dicabut oleh pemerintah Indonesia. Sejak itu mereka mengelana tanpa status yang jelas dari Santiago ke Havana, ke Peking dan akhirnya mendarat di tanah Eropa untuk mendapatkan suaka dan menetap di sana.  Di tengah kesibukan mengelola Restoran Tanah Air di Paris bersama tiga kawannya: Nug, Tjai, dan Risjaf—mereka berempat disebut Empat Pilar Tanah Air—Dimas, terus-menerus dikejar rasa bersalah karena kawan-kawannya di Indonesia satu persatu tumbang, dikejar, ditembak, atau menghilang begitu saja dalam perburuan Peristiwa 30 September. Apalagi dia tak bisa melupakan Surti Anandari—isteri Hananto—yang bersama ketiga anaknya berbulan-bulan diinterogasi tentara.","Historical Fiction, Fiction, Novels, Indonesian Literature, Historical, Romance, Literature","472 pages, Paperback","December 4, 2012 by Kepustakaan Populer Gramedia",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1465061573i/16174176.jpg,"Dimas Suryo, Hananto Prawiro, Lintang Utara, Vivienne Deveraux, Nugroho, Risjaf, Surti Anandari, Sagara Alam, Narayana Lefabre",9789799105158 (ISBN10: 9799105153),Indonesian
Negeri Para Bedebah,Tere Liye,Negeri Para Bedebah (#1),,"Di negeri para bedebah, kisah fiksi kalah seru dibanding kisah nyata.  Di negeri para bedebah, musang berbulu domba berkeliaran di halaman rumah.  Tetapi setidaknya, Kawan, di negeri para bedebah, petarung sejati tidak akan pernah berkhianat.","Fiction, Novels, Action, Indonesian Literature, Thriller, Crime, Adventure","440 pages, Paperback","July 1, 2012 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1340606900i/15721334.jpg,,9789792285529 (ISBN10: 9792285520),Indonesian
Perahu Kertas,Dee Lestari,,,"Namanya Kugy. Mungil, pengkhayal, dan berantakan. Dari benaknya, mengalir untaian dongeng indah. Keenan belum pernah bertemu manusia seaneh itu.  ...  Namanya Keenan. Cerdas, artistik, dan penuh kejutan. Dari tangannya, mewujud lukisan-lukisan magis. Kugy belum pernah bertemu manusia seajaib itu.  ...  Dan kini mereka berhadapan di antara hamparan misteri dan rintangan. Akankah dongeng dan lukisan itu bersatu?  Akankah hati dan impian mereka bertemu?","Romance, Fiction, Novels, Indonesian Literature, Young Adult, Love, Chick Lit","542 pages, Paperback","August 29, 2009 by Bentang Pustaka & Truedee",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1356225544i/6765740.jpg,"Keenan, Kugy",9789791227780,Indonesian
"Supernova: Ksatria, Puteri, dan Bintang Jatuh",Dee Lestari,,,"Dhimas dan Ruben adalah dua orang mahasiswa yang tengah menuntut ilmu di negeri Paman Sam. Dhimas kuliah di Goerge Washington University, dan Ruben di John Hopkins Medical School. Mereka bertemu dalam suatu pesta yang meriah, yang diadakan oleh perkumpulan mahasiswa yang bersekolah di Amrik. Pertama kali bertemu mereke terlibat dalam percakapan yang saling menyudutkan satu sama lain, hal tersebut dikarenakan oleh latar belakang mereka, Dhimas berasal dari kalangan The have, sedangkan Ruben, mahasiswa beasiswa. Tetapi setelah Ruben mencoba serotonin, mereka menjadi akrab membincangkan permasalahan iptek, saint, sampai acara buka-bukaan bahwa Ruben adalah seorang gay. Ternyata tak disangka-sangka bahwa Dhimas juga adalah seorang gay. Maka jadilah mereka sepasang kekasih, meskipun mereka tidak pernah serumah dalam satu apartemen. Bila ditanya mereka menjawab supaya bisa tetap kangen, tetap butuh usaha bila ingin bertemu satu sama lainnya. Dalam pertemuan di pesta tersebut mereka telah berikrar akan membuat satu karya. Satu masterpiece. Satu tulisan atau riset yang membantu menjembatani semua percabangan sains. Roman yang berdimensi luas dan mampu menggerakkan hati banyak orang.","Novels, Fiction, Romance, Fantasy, Indonesian Literature, Science Fiction, Contemporary","321 pages, Paperback","First published January 1, 2001",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1249473779i/994156.jpg,,,
Burung-Burung Manyar,Y.B. Mangunwijaya,,Indonesia,"Novel Burung-burung Manyar dapat dibaca sebagai bentuk proyek pasca-kolonial. Novel ini berusaha untuk mencari penyimpangan yang terjadi dalam penulisan sejarah Revolusi Indonesia. Sejarah dalam novel Burung-burung Manyar diceritakan secara mengalir dengan beberapa masukan anekdot. Sejarah tidak disampaikan dengan nada otoriter.  Sejarah dicerita melalui kisah cinta seorang yang bekerja mendukung kemerdekaan Indonesia, Larasati, dan Satadewa alias Teto, orang Indonesia yang bekerja dalam angkatan perang Belanda.  Menjelang akhir novel, terdapat kejutan yang menggelitik. Teto atau terbangkitkan jiwa nasionalismenya, dengan menjadi relawan membongkar kecurangan perusahaan tempatnya bekerja yang merugikan Indonesia.","Novels, Indonesian Literature, Fiction, Historical Fiction, Literature, Classics, Romance","320 pages, Paperback","January 1, 2004 by Djambatan",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1491741947i/1379444.jpg,"Setadewa (Teto), Larasati (Atik)",9789794285282 (ISBN10: 9794285285),Indonesian
Saman,Ayu Utami,Saman (#1),,"Saman is a story filtered through the lives of its feisty female protagonists and the enigmatic “hero” Saman. It is at o­nce an exposé of the oppression of plantation workers in South Sumatra, a lyrical quest to understand the place of religion and spirituality in contemporary lives, a playful exploration of female sexuality and a story about love in all its guises, while touching o­n all of Indonesia’s taboos: extramarital sex, political repression and the relationship between Christians and Muslims.  Saman has taken the Indonesian literary world by storm and sold over 100,000 copies in the Indonesian language, and is now available for the first time in English.  ABOUT THE AUTHOR Ayu Utami was born in Bogor, grew up in Jakarta and obtained her bachelor degree in Literature Studies from University of Indonesia. She worked as a journalist for Matra, Forum Keadilan, and D&R. Not long after the New Order regime closed Tempo, Editor, and Detik, she participated in the founding of Indonesia’s Alliance of Independent Journalists to protest the closure of those three weeklys. Currently she is working for the cultural journal Kalam, and at Teater Utan Kayu. Saman was awarded the Prince Claus Award in the year 2000.","Fiction, Indonesian Literature, Novels, Literature, Romance, Historical Fiction, Asia","197 pages, Paperback","January 1, 2001 by KPG",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406104002i/1337759.jpg,,,Indonesian
Bidadari Bidadari Surga,Tere Liye,,Indonesia,"Bidadari-Bidadari Surga bercerita tentang pengorbanan seorang kakak (Laisa) untuk adik-adiknya (Dalimunte, Ikanuri, Wibisana dan Yashinta) di Lembah Lahambay agar adik-adiknya dapat melanjutkan pendidikan mereka, meski ia harus bekerja di terik matahari setiap hari, mengolah gula aren setiap jam 4 pagi serta dimalam hari menganyam rotan, meski pada dasarnya keempat adik-adiknya tersebut berasal dari darah yang berbeda dengan dirinya.  Satu sisi Laisa digambarkan sebagai kakak yang galak dan tegas, mengejar-ngejar adiknya yang bolos sekolah dengan rotan dan ranting kayu. Di sisi lain, kontradiktif dengan fisiknya yang gempal, gendut, berkulit hitam, wajah yang tidak proporsional ditambah dengan rambut gimbal serta ukuran tubuhnya yang tidak normal, lebih pendek, Laisa sesungguhnya tipe kakak yang mendukung adik-adiknya, rela mengorbankan diri untuk keselamatan ‘dua anak nakal’ Ikanuri dan Wibisana dari siluman Gunung Kendeng, serta mati-matian mencari obat bagi kesembuhan adiknya Yashinta yang diserang demam panas hingga kejang pada suatu malam.","Novels, Fiction, Indonesian Literature, Family, Romance, Drama, Love","365 pages, Paperback","June 1, 2008 by Republika",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1303476056i/3971237.jpg,,9789791102261,Indonesian
Tenggelamnya Kapal Van Der Wijck,Hamka,,,"Cerita ini berkisar tentang semangat juang Zainuddin, bagaimana merana dan melaratnya hidup Zainuddin setelah cintanya ditolak oleh keluarga Hayati. Kemudian beliau bangun semula dari segala kedukaan, membuka lembaran baru dalam hidupnya menjadi seorang penulis yang ternama dan berjaya. Ia menceritakan tentang kesetiaan, cinta dan kasihnya Zainuddin terhadap Hayati. Meski Hayati sudah berkahwin tetapi sebaik mendapat tahu tentang kesusahan yang dihadapi Hayati, lantaran suaminya yang suka berpoya-poya serta tidak bertanggung-jawab, Zainuddin terus membantu tanpa ada dendam dan benci. Sesungguhnya cinta yang suci itu akan terus mekar di dalam hati hingga ke hujung nyawa begitulah jua cinta antara Zainuddin dan Hayati. Sumber: Laman web KKUM.","Novels, Fiction, Romance, Indonesian Literature, Classics, Historical Fiction, Drama","188 pages, Paperback","First published January 1, 1937",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1468645608i/1307394.jpg,,,
Rembulan Tenggelam Di Wajahmu,Tere Liye,,,"Tutup mata kita. Tutup pikiran kita dari carut- marut kehidupan. Mari berpikir takjim sejenak. Bayangkan saat ini ada satu malaikat bersayap indah datang kepada kita, lantas lembut berkata: Aku memberikan kau kesempatan hebat. Lima kesempatan untuk bertanya tentang rahasia kehidupan, dan aku akan menjawabnya langsung sekarang. Lima Pertanyaan. Lima jawaban. Apakah pertanyaan pertamamu? Maka apakah kita akan bertanya: Apakah cinta itu? Apakah hidup ini adil? Apakah kaya adalah segalanya? Apakah kita memilki pilihan dalam hidup? Apakah makna kehilangan? Ray (tokoh utama dalam kisah ini), ternyata memiliki kecamuk pertanyaan sendiri. Lima pertanyaan sebelum akhirnya dia mengerti makna hidup dan kehidupannya. Siapkan energi Anda untuk memasuki dunia Fantasi Tere-Liye tentang perjalanan hidup. Di sini hanya ada satu rumus: semua urusan adalah sederhana. Maka mulailah membaca dengan menghela nafas lega","Novels, Fiction, Romance, Indonesian Literature, Drama, Literature, Philosophy",Paperback,"First published January 1, 2009",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1236734744i/1376124.jpg,,,
Sabtu Bersama Bapak,Adhitya Mulya,,,"“Hai, Satya! Hai, Cakra!” Sang Bapak melambaikan tangan. “Ini Bapak. Iya, benar kok, ini Bapak. Bapak cuma pindah ke tempat lain. Gak sakit. Alhamdulillah, berkat doa Satya dan Cakra.  …  Mungkin Bapak tidak dapat duduk dan bermain di samping kalian. Tapi, Bapak tetap ingin kalian tumbuh dengan Bapak di samping kalian. Ingin tetap dapat bercerita kepada kalian. Ingin tetap dapat mengajarkan kalian. Bapak sudah siapkan.  Ketika punya pertanyaan, kalian tidak pernah perlu bingung ke mana harus mencari jawaban. I don’t let death take these, away from us. I don’t give death, a chance.  Bapak ada di sini. Di samping kalian. Bapak sayang kalian.”  Ini adalah sebuah cerita. Tentang seorang pemuda yang belajar mencari cinta. Tentang seorang pria yang belajar menjadi bapak dan suami yang baik. Tentang seorang ibu yang membesarkan mereka dengan penuh kasih. Dan…, tentang seorang bapak yang meninggalkan pesan dan berjanji selalu ada bersama mereka.","Fiction, Novels, Family, Indonesian Literature, Romance, Parenting, Drama","278 pages, Paperback","June 10, 2014 by GagasMedia",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1410909724i/22544789.jpg,,9789797807214 (ISBN10: 9797807215),Indonesian
"Seperti Dendam, Rindu Harus Dibayar Tuntas",Eka Kurniawan,,,"Di puncak rezim yang penuh kekerasan, kisah ini bermula dari satu peristiwa: dua orang polisi memerkosa seorang perempuan gila, dan dua bocah melihatnya melalui lubang di jendela. Dan seekor burung memutuskan untuk tidur panjang. Di tengah kehidupan yang keras dan brutal, si burung tidur merupakan alegori tentang kehidupan yang tenang dan damai, meskipun semua orang berusaha membangunkannya  “Wrapped in a Chinese kung fu-styled novel and almost as brutal and dark as Chuck Palahniuk’s Fight Club, Eka has maintained his place on the frontlines of Indonesian writers.” — Adisti Sukma Sawitri, The Jakarta Post  Dalam Seperti Dendam, Rindu Harus Dibayar Tuntas, Eka menulis dengan semangat bermain-main yang cerdik dan lihai.” — Anton Kurnia, Jawa Pos  “Seperti dua novel Eka sebelumnya, novel ini dipenuhi tokoh-tokoh dengan karakter yang ‘tidak waras’. Ketidakwarasan tokoh-tokohnya, di luar motif hasrat s-e-k-s yang menggerakkan mereka, juga menjadi cermin dari ketidakwarasan zamannya.” — Aris Kurniawan, Koran Tempo","Fiction, Novels, Indonesian Literature, Contemporary, Asia, Literature, Adult","245 pages, Paperback","First published April 1, 2014",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394604381i/21433310.jpg,,,
