Title,Author,Series,Settings,Blurb,Genres,Pages,Publication Info,Image URL,Character,ISBN,Language
The Grapes of Wrath,John Steinbeck,,"Oklahoma (United States), California (United States), The United States of America, Route 66 (United States)","The Pulitzer Prize-winning epic of the Great Depression, a book that galvanized—and sometimes outraged—millions of readers.  First published in 1939, Steinbeck’s Pulitzer Prize-winning epic of the Great Depression chronicles the Dust Bowl migration of the 1930s and tells the story of one Oklahoma farm family, the Joads—driven from their homestead and forced to travel west to the promised land of California. Out of their trials and their repeated collisions against the hard realities of an America divided into Haves and Have-Nots evolves a drama that is intensely human yet majestic in its scale and moral vision, elemental yet plainspoken, tragic but ultimately stirring in its human dignity. A portrait of the conflict between the powerful and the powerless, of one man’s fierce reaction to injustice, and of one woman’s stoical strength, the novel captures the horrors of the Great Depression and probes into the very nature of equality and justice in America. At once a naturalistic epic, captivity narrative, road novel, and transcendental gospel, Steinbeck’s powerful landmark novel is perhaps the most American of American Classics.","Classics, Fiction, Historical Fiction, Literature, Novels, School, American","479 pages, Hardcover","April 10, 2014 by Viking",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375670575i/18114322.jpg,"Tom Joad, Rose of Sharon Joad Rivers, Ma Joad, Pa Joad, Uncle John Joad, Jim Casy, Al Joad, Ruthie Joad, Winfield Joad, Noah Joad, Grampa Joad, Granma Joad, Connie Rivers",9780670016907 (ISBN10: 067001690X),English
One Hundred Years of Solitude,Gabriel García Márquez,,,"The brilliant, bestselling, landmark novel that tells the story of the Buendia family, and chronicles the irreconcilable conflict between the desire for solitude and the need for love—in rich, imaginative prose that has come to define an entire genre known as """"magical realism.""""","Fiction, Magical Realism, Literature, Fantasy, Novels, Historical Fiction, Spanish Literature","417 pages, Mass Market Paperback","June 24, 2003 by Harper",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320.jpg,"Úrsula Iguarán, Remedios Moscote, Remedios la bella Buendía, Fernanda del Carpio, Aureliano Buendía, José Arcadio Buendía, Amaranta Buendía, Amaranta Úrsula Buendía, Aureliano Babilonia, José Arcadio Segundo, Aureliano Segundo, Aureliano José, Pilar Ternera, Rebeca Buendía, Santa Sofía de la Piedad, Arcadio Buendía, José Arcadio Buendía, hijo, Meme Buendía, Petra Cotes, Pietro Crespi, Melquiades, ,
Show more",,English
Brave New World,Aldous Huxley,,"New Mexico (United States), London, England (, 2540)","Aldous Huxley's profoundly important classic of world literature, Brave New World is a searching vision of an unequal, technologically-advanced future where humans are genetically bred, socially indoctrinated, and pharmaceutically anesthetized to passively uphold an authoritarian ruling order–all at the cost of our freedom, full humanity, and perhaps also our souls. “A genius [who] who spent his life decrying the onward march of the Machine” (The New Yorker), Huxley was a man of incomparable talents: equally an artist, a spiritual seeker, and one of history’s keenest observers of human nature and civilization. Brave New World, his masterpiece, has enthralled and terrified millions of readers, and retains its urgent relevance to this day as both a warning to be heeded as we head into tomorrow and as thought-provoking, satisfying work of literature. Written in the shadow of the rise of fascism during the 1930s, d likewise speaks to a 21st-century world dominated by mass-entertainment, technology, medicine and pharmaceuticals, the arts of persuasion, and the hidden influence of elites.  """"Aldous Huxley is the greatest 20th century writer in English."""" —Chicago Tribune","Classics, Fiction, Science Fiction, Dystopia, Literature, Novels, School","268 pages, Paperback","January 1, 1998 by HarperPerennial / Perennial Classics",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129.jpg,"John (Brave New World), Bernard Marx, Lenina Crowne, Helmholtz Watson, Mustapha Mond, The Warden, Pope, Linda (Brave New World), Fanny Crowne, The Director, The Arch-Community Songster",9780060929879 (ISBN10: 0060929871),English
Gone with the Wind,Margaret Mitchell,,"Atlanta, Georgia (United States), Georgia (United States)","Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.","Historical Fiction, Fiction, Romance, Classics, Historical, Literature, War","1037 pages, Mass Market Paperback","April 1, 1999 by Warner Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405.jpg,"Scarlett O'Hara, Rhett Butler, Ashley Wilkes, Melanie Hamilton Wilkes, Wade Hampton Hamilton, Ella Lorena Kennedy, Eugenie Victoria ""Bonnie Blue"" Butler, Beau Wilkes, India Wilkes, Honey Wilkes, John Wilkes, Gerald O'Hara, Ellen O'Hara, Suellen O'Hara, Carreen O'Hara, Eulalie, Pauline, Mammy Abigail, Prissy, Pork, Dilcey, Charles Hamilton, Frank Kennedy, Belle Watling, Jonas Wilkerson, Emmie Slattery, Will Benteen, Aunt Pittypat Hamilton,
Show more",,English
Of Mice and Men,John Steinbeck,,"Salinas Valley, California (United States), California (United States)","“I got you to look after me, and you got me to look after you, and that's why.”  They are an unlikely pair: George is """"small and quick and dark of face"""", Lennie, a man of tremendous size, has the mind of a young child. Yet they have formed a """"family,"""" clinging together in the face of loneliness and alienation. Laborers in California's dusty vegetable fields, they hustle work when they can, living a hand-to-mouth existence. But George and Lennie have a plan: to own an acre of land and a shack they can call their own.  While the powerlessness of the laboring class is a recurring theme in Steinbeck's work of the late 1930s, he narrowed his focus when composing , creating an intimate portrait of two men facing a world marked by petty tyranny, misunderstanding, jealousy, and callousness. But though the scope is narrow, the theme is universal: a friendship and a shared dream that makes an individual's existence meaningful.  A unique perspective on life's hardships, this story has achieved the status of timeless classic due to its remarkable success as a novel, a Broadway play, and three acclaimed films.","Fiction, Classics, School, Historical Fiction, Literature, Read For School, Novels","107 pages, Paperback","January 1, 2002 by Penguin Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890.jpg,"George Milton, Lennie Small, Candy, Curley, Curley's Wife, Slim, Crooks, Whit, Carlson",9780142000670 (ISBN10: 0142000671),English
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,,,"Harry Potter, along with his best friends, Ron and Hermione, is about to start his third year at Hogwarts School of Witchcraft and Wizardry. Harry can't wait to get back to school after the summer holidays. (Who wouldn't if they lived with the horrible Dursleys?) But when Harry gets to Hogwarts, the atmosphere is tense. There's an escaped mass murderer on the loose, and the sinister prison guards of Azkaban have been called in to guard the school...","Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Audiobook","435 pages, Mass Market Paperback","First published July 8, 1999",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630547330i/5.jpg,,,
The Giver,Lois Lowry,The Giver (#1),,"At the age of twelve, Jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from The Giver, who alone holds the memories of the true joys and pain of life.","Young Adult, Fiction, Classics, Dystopia, Science Fiction, Fantasy, School","208 pages, Paperback","January 24, 2006 by Ember",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636.jpg,"Rosemary (Lois Lowry), Jonas (Lois Lowry), The Giver (Lois Lowry), Gabriel (Lois Lowry), Asher (Lois Lowry), Fiona (Lois Lowry), Mother (Lois Lowry), Father (Lois Lowry), The Chief Elder (Lois Lowry), Lily (Lois Lowry)",9780385732550 (ISBN10: 0385732554),English
Lord of the Flies,William Golding,,,"At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate, this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable novel about “the end of innocence, the darkness of man’s heart.”","Classics, Fiction, Young Adult, School, Literature, Dystopia, Read For School","182 pages, Paperback","October 1, 1999 by Penguin Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624.jpg,"Ralph, Piggy, Roger, Jack Merridew, Simon",9780140283334 (ISBN10: 0140283331),English
Slaughterhouse-Five,Kurt Vonnegut Jr.,Critical Insights,"Dresden (Germany, 1945), Tralfamadore, Ilium (United States), Germany, The United States of America","Slaughterhouse-Five, an American classic, is one of the world’s great antiwar books. Centering on the infamous World War II firebombing of Dresden, the novel is the result of what Kurt Vonnegut described as a twenty-three-year struggle to write a book about what he had witnessed as an American prisoner of war. It combines historical fiction, science fiction, autobiography, and satire in an account of the life of Billy Pilgrim, a barber’s son turned draftee turned optometrist turned alien abductee. As Vonnegut had, Billy experiences the destruction of Dresden as a POW. Unlike Vonnegut, he experiences time travel, or coming “unstuck in time.”  An instant bestseller, made Kurt Vonnegut a cult hero in American literature, a reputation that only strengthened over time, despite his being banned and censored by some libraries and schools for content and language. But it was precisely those elements of Vonnegut’s writing—the political edginess, the genre-bending inventiveness, the frank violence, the transgressive wit—that have inspired generations of readers not just to look differently at the world around them but to find the confidence to say something about it.  Fifty years after its initial publication at the height of the Vietnam War, Vonnegut's portrayal of political disillusionment, PTSD, and postwar anxiety feels as relevant, darkly humorous, and profoundly affecting as ever, an enduring beacon through our own era’s uncertainties.","Fiction, Science Fiction, Classics, Historical Fiction, War, Literature, Novels","275 pages, Paperback","January 12, 1999 by Dial Press",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981.jpg,"Billy Pilgrim, Kilgore Trout, Eliot Rosewater, Roland Weary, Paul Lazzaro, Edgar Derby, Robert Pilgrim, Valencia Merble, Barbara Pilgrim, Howard W. Campbell Jr., Montana Wildhack, Bertam Copeland Rumfoord",9780385333849 (ISBN10: 0385333846),English
Lolita,Vladimir Nabokov,,The United States of America,"Librarian's note: Alternate cover edition of ISBN 9780141182537.  Humbert Humbert - scholar, aesthete and romantic - has fallen completely and utterly in love with Dolores Haze, his landlady's gum-snapping, silky skinned twelve-year-old daughter. Reluctantly agreeing to marry Mrs Haze just to be close to Lolita, Humbert suffers greatly in the pursuit of romance, but when Lo herself starts looking for attention elsewhere, he will carry her off on a desperate cross-country misadventure, all in the name of Love. Hilarious, flamboyant, heart-breaking and full of ingenious word play, Lolita is an immaculate, unforgettable masterpiece of obsession, delusion and lust.","Fiction, Literature, Russia, Novels, Romance, Russian Literature, Literary Fiction","368 pages, Paperback","January 1, 1995 by Penguin",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1377756377i/7604.jpg,"Humbert Humbert, Dolores “Lolita” Haze, Charlotte Haze, Clare Quilty",,English
East of Eden,John Steinbeck,,"California (United States), Salinas Valley, California (United States), The United States of America","In his journal, Nobel Prize winner John Steinbeck called East of Eden “the first book,” and indeed it has the primordial power and simplicity of myth. Set in the rich farmland of California’s Salinas Valley, this sprawling and often brutal novel follows the intertwined destinies of two families—the Trasks and the Hamiltons—whose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel.  Adam Trask came to California from the East to farm and raise his family on the new rich land. But the birth of his twins, Cal and Aaron, brings his wife to the brink of madness, and Adam is left alone to raise his boys to manhood. One boy thrives nurtured by the love of all those around him, the other grows up in loneliness enveloped by a mysterious darkness.  First published in 1952, East of Eden is the work in which Steinbeck created his most mesmerizing characters and explored his most enduring themes: the mystery of identity, the inexplicability of love, and the murderous consequences of love's absence. A masterpiece of Steinbeck's later years, East of Eden is a powerful and vastly ambitious novel that is at once a family saga and a modern retelling of the Book of Genesis.","Fiction, Classics, Historical Fiction, Literature, Novels, American, Literary Fiction","601 pages, Paperback","January 1, 2002 by Penguin Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1639969375i/4406.jpg,"Lee, Tom Hamilton, Cyrus Trask, Adam Trask, Charles Trask, Aron Trask, Caleb Trask, Samuel Hamilton, Liza Hamilton, Will Hamilton, Dessie Hamilton, Olive Hamilton, Cathy Ames, Abra Bacon, Joe Valery",9780142000656 (ISBN10: 0142000655),English
The Handmaid’s Tale,Margaret Atwood,The Handmaid’s Tale (#1),"Republic of Gilead (, 2005), The United States of America, Bangor, Maine (United States)","Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke, when she played with and protected her daughter, when she had a job, money of her own, and access to knowledge. But all of that is gone now…  Funny, unexpected, horrifying, and altogether convincing, is at once scathing satire, dire warning, and tour de force.","Fiction, Classics, Dystopia, Science Fiction, Feminism, Fantasy, Adult","311 pages, Paperback","April 1, 1998 by Anchor Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447.jpg,"The Commander, Offred, Serena Joy, Ofglen, Moira, Aunt Lydia, Nick (The Handmaid's Tale), Janine (The Handmaid's Tale)",,English
The Fellowship of the Ring,J.R.R. Tolkien,,,"Alternate Cover Edition ISBN 0618260269 (copyright page ISBN is 0618346252 - different from back cover)  One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind them  In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit.  In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose. --back cover","Fantasy, Classics, Fiction, Adventure, High Fantasy, Science Fiction Fantasy, Audiobook","398 pages, Paperback","First published July 29, 1954",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1298411339i/34.jpg,,,
One Flew Over the Cuckoo’s Nest,Ken Kesey,,,"Alternate cover edition of ISBN 9780451163967  Tyrannical Nurse Ratched rules her ward in an Oregon State mental hospital with a strict and unbending routine, unopposed by her patients, who remain cowed by mind-numbing medication and the threat of electric shock therapy. But her regime is disrupted by the arrival of McMurphy – the swaggering, fun-loving trickster with a devilish grin who resolves to oppose her rules on behalf of his fellow inmates. His struggle is seen through the eyes of Chief Bromden, a seemingly mute half-Indian patient who understands McMurphy's heroic attempt to do battle with the powers that keep them imprisoned. Ken Kesey's extraordinary first novel is an exuberant, ribald and devastatingly honest portrayal of the boundaries between sanity and madness.","Fiction, Classics, Psychology, Literature, Novels, Mental Health, School","325 pages, Mass Market Paperback","First published January 1, 1962",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1516211014i/332613.jpg,,,
The Stranger,Albert Camus,,"Algeria, North Africa, New Mexico (United States, 1881)","Published in 1942 by French author Albert Camus, The Stranger has long been considered a classic of twentieth-century literature. Le Monde ranks it as number one on its """"100 Books of the Century"""" list. Through this story of an ordinary man unwittingly drawn into a senseless murder on a sundrenched Algerian beach, Camus explores what he termed """"the nakedness of man faced with the absurd.""""","Classics, Fiction, Philosophy, France, Literature, Novels, French Literature","159 pages, Paperback","March 28, 1989 by Vintage International",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1590930002i/49552.jpg,"Meursault, Raymond Sintès, Marie Cardona, Salamano",,English
Memoirs of a Geisha,Arthur Golden,,"Kyoto (Japan, 1930), Japan","A literary sensation and runaway bestseller, this brilliant novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.  In """"Memoirs of a Geisha,"""" we enter a world where appearances are paramount, where a girl's virginity is auctioned to the highest bidder, where women are trained to beguile the most powerful men, and where love is scorned as illusion. It is a unique and triumphant work of fiction - at once romantic, erotic, suspenseful - and completely unforgettable.","Fiction, Historical Fiction, Romance, Historical, Japan, Adult, Novels","503 pages, Mass Market Paperback","November 22, 2005 by Vintage Books USA",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929.jpg,"Sayuri Nitta, Mr. Bekku, Ichiro Tanaka, Dr. Crab, Hatsumono, Mameha, Ken Iwamura, Pumpkin, Toshikazu Nobu",9781400096893 (ISBN10: 1400096898),English
The Ultimate Hitchhiker’s Guide to the Galaxy,Douglas Adams,,,"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series.  """"The Hitchhiker's Guide to the Galaxy""""  Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.  """"The Restaurant at the End of the Universe""""  Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.  """"Life, the Universe and Everything""""  The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew.  """"So Long, and Thanks for All the Fish""""  Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak.  """"Mostly Harmless""""  Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?  Also includes the short story """"Young Zaphod Plays It Safe"""".","Science Fiction, Fiction, Humor, Fantasy, Classics, Comedy, Science Fiction Fantasy","815 pages, Paperback","First published January 17, 1996",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404613595i/13.jpg,,,
